Profession: ,Field of work / stream: ,Hobbies,What you do from 6:00 am to 7:00 am?,What you do from 7:00 am to 8:00 am?,What you do from 8:00 am to 9:00 am?,What you do from 9:00 am to 10:00 am?,What you do from 10:00 am to 11:00 am?,What you do from 11:00 am to 12:00 pm?,What you do from 12:00 pm to 1:00 pm?,What you do from 1:00 pm to 2:00 pm?,What you do from 2:00 pm to 3:00 pm?,What you do from 3:00 pm to 4:00 pm?,What you do from 4:00 pm to 5:00 pm?,What you do from 5:00 pm to 6:00 pm?,What you do from 6:00 pm to 7:00 pm?,What you do from 7:00 pm to 8:00 pm?,What you do from 8:00 pm to 9:00 pm?,What you do from 9:00 pm to 10:00 pm?,What you do from 10:00 pm to 11:00 pm?,What you do from 11:00 pm to 6:00 am?
Business analyst,E-commerce,Painting,Mediation spritual practice,Morning walk,Morning breakfast ,Starting office work,Office work,Office work,Lunch time,Work,Work,Wirk,Work,Break tea time,Office work,Spritual practice,Time pass and call to friends and family relatives,Dinner,Night walk,Sleeping
Stenographer,Stenographer,Dancing reading cooking,Bath and preparing my lunch for offlice,Doing some work at house or will take a small nap,Getting ready for office,Travelling to office,Start my work,Office work,Office work,Luch time,Office work,Office work,Office work,Office work,Travelling to home,Get fresh go out to meet my friends or I do reading,Any work if left at home,Dinner,Go for a walk,Sleeping
Student,Computer sciences,Hiking,Sleep ,Sleep,Sleep,Try to wake up,Try to wake up,Finally wake up and surf the internet,Lunch,Call of duty,Call of duty,Random YouTube videos,Random YouTube videos,Listening to Music ,Working out in the gym,Working out in the gym,Preparing post workout food and having it ,*420,Hanging out with friends *420 ,Play some sci fi movies or else playing some mobile games or watching some science shows 
Software Developer,IT,Gaming,Sleep,Sleep,Sleep,Breakfast and some house work,Office,Office,Office,Lunch and half an hour walk,Sleep,Office ,Office,Office ,Breakfast and 2 hours walk,Walk,Gaming,Dinner ,Gaming,Gaming and sleep
Student (computer engineering),AI/ML ,Whatever fells good to do,Sleep,Morning stuff,Morning stuff,Attend lecture,Attend lecture,Attend lecture,Lunch,Study related stuff,Study related stuff,Study related stuff,Study related stuff,Fun time with friends,Fun time with friends,Fun time with friends,Dinner,"Walk, social media",Social media,Sleep
Student,Computer engineering,"Coding, dancing, music, drawing",Regular routine and workout,Workout,Household work's,"Bath, pooja and breakfast",College lecture,College lecture,Self-study if I get bored from college lectures,Lunch and timepass,Self study,I'm preparing for attitude so I invest this time in that if I'm in mood or else I will sleep,I take tution for students of 1 to 10 so i invest 2 hours in that regularly,I.e from 4 to 6 pm,Time pass with family and Tv,Bath and pooja,Complete the pending works such as assignments and all.,Practice for competitive coding  i.e I solve questions to enhance my skills ,Dinner and family time,Apply oil on papa's every night spend some time with mom dad and then I sit to study  till 2.30 nd then go to sleep ......
Student,Computer Engineering,Drawing,Sleep,"Waking up, brushing teeth","Bath, Breakfast",TV,Preparation for lunch,Making lunch,Relaxation,Lunch,Sleep,Study,Study,Study,Evening snacks,Preparation for dinner,Making dinner,Dinner,Study or doing my hobbies,Social media use till 11:30 or 11:45 then sleep
Student,Computer science ,"Art, Computer Games , coding",Sleep,Sleep,Sleep,Breakfast ,Bath,Lunch ,Game,Game,Online streaming ,Online streaming ,Online streaming ,Evening Tea and family time,Programming ,Programming ,Programming ,Dinner,Family time,11 to  3 Gaming then sleep
Business ,Real estate ,"Driving , exploring new places ",Sleep ,Get ready for day ,"Prayer , ready for office ",Drive ,Office ,Work ,Work,Work,Food and work ,Work,Snacks and work ,Work ,Work ,Work ,Badminton ,Dinner ,Tv,Sleep 
Student,Extc,"Reading, drawing, movies, series, etc",Sleep,Sleep,Sleep,Sleep,Get up fresh up etc,"Breakfast, other stuffs",Study,Study,"Lunch, etc",Study,Exercise,Evening snack,Study,Study,Timepass,Dinner etc,Study,Sleep
Data Science,Information Technology,Book Reading,Yoga,News,Email,Study,Study,Lunch,Rest,Study,News,Study ,Project,Project,Study,Aarti,Dinner,Walk,Study,Sleep
Programmer,Computer Engineering,1. Playing RPG's 2. Vibing to music 3. Cooking 4. Trekking 5. Gardening  ,Meditation,Daily chores,Read,Code ,Code,Code,Cook,Cook,Lunch and watch tv,Netflix,Netflix ,"Exercise , jog ",Socialize,Socialize,Gaming ,Dinner,YouTube,Sleep
Audio ,Audio,Sound,Sleep,Wake up,Cleaning house,Cooking,Breakfast,Watch tv,Watch tv,Use laptop,Nothing,Nothing,Nothing,No plans,Cook,Cook ,Chill,Chill,Chilll,Sleep
Student,Engineering,Gaming,Sleep,Sleep,Workout and Breakfast,Nothing,Nothing,Nothing,Lunch,Study,Study,Play Cod,Study,Study,Dinner,Play cod,nothing,nothing,TP,Sleep
STUDENT,BTECH,GAMING,sleeping,sleeping,sleeping,sleeping,getting fresh and taking shower,"breakfast, movie",checking social accounts,checking social accounts,studies,studies,gaming,gaming,random work,away from home,movie,dinner,"movie, book",obv. sleep
Student,Mechanical engineering,Reading stories book,Walking,Breakfast,Playing game's,Study,Study,Watching tv,Launch,Sleep,Study,Study,Walking,Walking,Coffee break,Study,Study,Dinner,Sleep,Sleep
Engineer,IT Manager,Reading,Workout,Breakfast,Shower,Traveling to office,Office Work,Office Work,Office Work,Lunch,Office Work,Office Work,Office Work,Office Work,Office Work,Traveling to home,Rest,"Playing mobile games , social media",Dinner,Sleeping
Student,12th Arts,Drawing,Sleeping,Wake up at 7:30am,Finished with bath,"Breakfast, helping mom with chores",Watching tv,Studying,Having lunch,watching tv or playing with siblings,same as above ,studying,studying,probably going down for a walk,going for walk,coming home and getting fresh,having dinner,watching tv,going to bed,sleeping
Student,Commerce,Singing,Sleep,Sleep,Sleep,"Wake up, get fresh, meditate, breakfasts ",Shop,Shop,Shop ,Lunch n tv,Break,Household work ,Gyming,Same,Play,Play,Dinner ,Carrom,Bath n ready for bed,Sleep
"Bcom,Mcom",Commerce,Creativity,Sleeping,Exercise ,Studying,Breakfast,Work,Work,Work,Lunch,Rest,Work,Studying,Studying,Studying,Studying,Dinner,TV,Studying,Sleeping 
Student ,CS,"Code, poem and quotes writer, basketball, football.",Mostly sleep,Breakfast ,College ,College ,College ,Lunch or College ,Lunch,College ,Some household work,Code or write,Code or write ,Snacks,Walk then code,Sport,Dinner,Walk,Movies,Anime or cards then sleep
Civil Engineering,Civil ,Cooking,Sleep,Sleep,Get ready,Go to office,work,work,Work,Work,Lunch,Work,Work,Work,Work,Come home and rest,Tp on Social Media,Dinner ,Time pass,Sleep
student,Civil engineering ,"Reading books, Paintings ","read book, watch TV",attend online classes ,Dinner,spend time with family,watch TV or read book,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,wake up and bathe ,attend online lecture ,lectures,lectures ,"lectures, lunch, workout, read book"
Chartered Accountant (Pursuing),Accounts and Taxation ,"Singing, Handcrafts making, designing dresses ",Meditation ,Exercise ,Eat breakfast and then do households ,Study ,Study ,Study ,Study ,Study ,Have lunch and take short nap ,Study ,Study ,Study ,Study ,Study ,Study ,Family time ,Watch a family show or Spiritual shows ,Sleep 
